Year,GlobalTempAnomaly,CO2Concentration,OceanHeatContent,SeaLevelRise
1970.0027397260274,0.063,325.2,1.86,0.0
1970.0054794520547,0.039,325.23,1.86,0.01
1970.0082191780823,0.051,325.16,1.86,0.01
1970.0109589041097,0.014,325.16,1.85,0.01
1970.013698630137,0.033,325.2,1.85,0.01
1970.0164383561644,0.047,325.22,1.87,0.02
1970.0191780821917,0.014,325.16,1.84,0.02
1970.021917808219,0.027,325.22,1.84,0.02
1970.0246575342467,0.04,325.2,1.85,0.02
1970.027397260274,0.04,325.15,1.85,0.03
1970.0301369863014,0.04,325.18,1.84,0.03
1970.0328767123287,0.015,325.21,1.85,0.03
1970.035616438356,0.024,325.18,1.85,0.04
1970.0383561643835,0.044,325.19,1.85,0.04
1970.041095890411,0.03,325.16,1.86,0.04
1970.0438356164384,0.038,325.14,1.86,0.04
1970.0465753424658,0.035,325.19,1.86,0.05
1970.0493150684931,0.033,325.09,1.86,0.05
1970.0520547945205,0.001,325.17,1.85,0.05
1970.054794520548,-0.013,325.17,1.85,0.05
1970.0575342465754,-0.011,325.24,1.86,0.06
1970.0602739726028,0.014,325.12,1.86,0.06
1970.0630136986301,0.02,325.27,1.85,0.06
1970.0657534246575,0.013,325.17,1.83,0.07
1970.0684931506848,0.028,325.14,1.86,0.07
1970.0712328767124,0.007,325.14,1.85,0.07
1970.0739726027398,0.002,325.18,1.86,0.07
1970.0767123287671,0.015,325.32,1.85,0.08
1970.0794520547945,0.044,325.21,1.83,0.08
1970.0821917808219,0.038,325.38,1.9,0.08
1970.0849315068492,0.017,325.18,1.9,0.08
1970.0876712328768,0.007,325.34,1.89,0.09
1970.0904109589042,0.038,325.33,1.91,0.09
1970.0931506849315,0.041,325.32,1.9,0.09
1970.0958904109589,0.044,325.23,1.92,0.1
1970.0986301369862,0.055,325.24,1.9,0.1
1970.1013698630136,0.031,325.24,1.9,0.1
1970.1041095890412,0.006,325.23,1.9,0.1
1970.1068493150685,0.014,325.28,1.9,0.11
1970.109589041096,0.03,325.26,1.91,0.11
1970.1123287671232,0.001,325.24,1.89,0.11
1970.1150684931506,0.023,325.3,1.88,0.12
1970.1178082191782,0.035,325.22,1.92,0.12
1970.1205479452055,-0.003,325.33,1.89,0.12
1970.123287671233,0.012,325.24,1.89,0.12
